	seqid	db	taxid	lineage
UniRef100_A0A7C4R795	A0A7C4R795	uniprot	2049433	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae
UniRef100_A0A7C8E9Y7	A0A7C8E9Y7	uniprot	2026887	cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae
UniRef100_A0A7C9JKS5	A0A7C9JKS5	uniprot	2024963	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium;unclassified Caldimicrobium
UniRef100_A0A7X8B0P7	A0A7X8B0P7	uniprot	2026735	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria
UniRef100_A0A800C669	A0A800C669	uniprot	2044940	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;unclassified Desulfobacterales
UniRef100_D5C0Y1	D5C0Y1	uniprot	472759	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;Nitrosococcus halophilus
UniRef100_F8AAV4	F8AAV4	uniprot	667014	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfatator;Thermodesulfatator indicus
UniRef100_I4C058	I4C058	uniprot	706587	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfomonile;Desulfomonile tiedjei
UniRef100_A0A0F5YDR8	A0A0F5YDR8	uniprot	1637645	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Sirenicapillariaceae;Limnoraphis;Limnoraphis robusta
UniRef100_A0A0K1RYM3	A0A0K1RYM3	uniprot	1638788	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis panniformis
UniRef100_A0A1B1TYQ4	A0A1B1TYQ4	uniprot	195498	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus
UniRef100_A0A1U7HLM5	A0A1U7HLM5	uniprot	1921803	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pleurocapsales;Hydrococcaceae;Hydrococcus;Hydrococcus rivularis
UniRef100_A0A261KQL5	A0A261KQL5	uniprot	1671698	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Hydrocoleum;unclassified Hydrocoleum
UniRef100_A0A3B8YCC2	A0A3B8YCC2	uniprot	2055757	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Cyanothecaceae;Cyanothece;unclassified Cyanothece
