	seqid	db	taxid	lineage	lineage_taxonkit	k	p	c	o	f	g	s	p_r
UniRef100_A0A1A2TDQ2	A0A1A2TDQ2	uniprot	560555.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium complex (MAC)	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mantenii	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium mantenii	Actinomycetota
UniRef100_D5PCW5	D5PCW5	uniprot	525368.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium simiae complex;Mycobacterium parascrofulaceum	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium parascrofulaceum	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium parascrofulaceum	Actinomycetota
UniRef100_A0A1E3S7X9	A0A1E3S7X9	uniprot	28445.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium simiae complex	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium intermedium	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium intermedium	Actinomycetota
UniRef100_A0A4R9E5P6	A0A4R9E5P6	uniprot	2560059.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. T1317-0309	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. T1317-0309	Actinomycetota
UniRef100_A0A7K2W146	A0A7K2W146	uniprot	2690256.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. SID2888	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. SID2888	Actinomycetota
UniRef100_A0A2W4NME6	A0A2W4NME6	uniprot	1977087.0	cellular organisms;Bacteria;Proteobacteria;unclassified Proteobacteria	k__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__Proteobacteria bacterium	Bacteria	Proteobacteria	NA	NA	NA	NA	Proteobacteria bacterium	Proteobacteria
UniRef100_A0A7J5WUD7	A0A7J5WUD7	uniprot	396712.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Gordoniaceae;Gordonia;unclassified Gordonia	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia sp. YY1	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia sp. YY1	Actinomycetota
UniRef100_A0A7G1ILF3	A0A7G1ILF3	uniprot	1768.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium kansasii	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kansasii	Actinomycetota
UniRef100_A0A2A3HNA2	A0A2A3HNA2	uniprot	1938860.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. TLI_235	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. TLI_235	Actinomycetota
UniRef100_A0A6I5CZS9	A0A6I5CZS9	uniprot	2690291.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. SID4982	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. SID4982	Actinomycetota
UniRef100_A0A7K2VGX2	A0A7K2VGX2	uniprot	2690250.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. SID1328	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. SID1328	Actinomycetota
UniRef100_G2GPT8	G2GPT8	uniprot	700597.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces zinciresistens	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces zinciresistens	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces zinciresistens	Actinomycetota
UniRef100_A0A4R4Z5X9	A0A4R4Z5X9	uniprot	2530383.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptosporangiales;Streptosporangiaceae;Nonomuraea	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nonomuraea;s__Nonomuraea terrae	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea terrae	Actinomycetota
UniRef100_A0A7K2JHA3	A0A7K2JHA3	uniprot	2690312.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. SID5910	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. SID5910	Actinomycetota
UniRef100_A0A7K3GPY0	A0A7K3GPY0	uniprot	2690310.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. SID5789	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. SID5789	Actinomycetota
UniRef100_A0A6B3DBJ0	A0A6B3DBJ0	uniprot	2706117.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. SID9913	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. SID9913	Actinomycetota
UniRef100_A0A2N5XH77	A0A2N5XH77	uniprot	2067551.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;unclassified Streptomyces	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. DJ	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. DJ	Actinomycetota
UniRef100_A0A1V3X8K7	A0A1V3X8K7	uniprot	1768.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium kansasii	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kansasii	Actinomycetota
UniRef100_A0A329KD71	A0A329KD71	uniprot	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UniRef100_A0A5N0HQA0	A0A5N0HQA0	uniprot	1785.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;unclassified Mycobacterium	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp.	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp.	Actinomycetota
UniRef100_V7ND07	V7ND07	uniprot	1381559.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium complex (MAC);Mycobacterium avium;Mycobacterium avium subsp. hominissuis	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium avium	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium	Actinomycetota
UniRef100_A0A135VSB9	A0A135VSB9	uniprot	1706444.0	cellular organisms;Archaea;Asgard group;Candidatus Thorarchaeota	k__Archaea;p__Candidatus Thorarchaeota;c__;o__;f__;g__;s__Candidatus Thorarchaeota archaeon SMTZ1-45	Archaea	Candidatus Thorarchaeota	NA	NA	NA	NA	Candidatus Thorarchaeota archaeon SMTZ1-45	Other
UniRef100_A0A2W5Y125	A0A2W5Y125	uniprot	2052315.0	cellular organisms;Bacteria;Terrabacteria group;Candidatus Dormibacteraeota;unclassified Candidatus Dormibacteraeota	k__Bacteria;p__Candidatus Dormibacteraeota;c__;o__;f__;g__;s__Candidatus Dormibacteraeota bacterium	Bacteria	Candidatus Dormibacteraeota	NA	NA	NA	NA	Candidatus Dormibacteraeota bacterium	Other
UniRef100_A0A7Z8QY68	A0A7Z8QY68	uniprot	1916065.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;unclassified Methylococcaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__;s__Methylococcaceae bacterium HT5	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	NA	Methylococcaceae bacterium HT5	Proteobacteria
UniRef100_A0A5C9BSX8	A0A5C9BSX8	uniprot	1898103.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;unclassified Rhodocyclaceae	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__;s__Rhodocyclaceae bacterium	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	NA	Rhodocyclaceae bacterium	Proteobacteria
UniRef100_A0A356BG87	A0A356BG87	uniprot	1869214.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Rheinheimera;unclassified Rheinheimera	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Rheinheimera;s__Rheinheimera sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera	Rheinheimera sp.	Proteobacteria
UniRef100_A0A2S5KMH5	A0A2S5KMH5	uniprot	2083153.0	cellular organisms;Bacteria;Proteobacteria;unclassified Proteobacteria	k__Bacteria;p__Proteobacteria;c__;o__;f__;g__;s__Proteobacteria bacterium 228	Bacteria	Proteobacteria	NA	NA	NA	NA	Proteobacteria bacterium 228	Proteobacteria
UniRef100_A0A517YPT5	A0A517YPT5	uniprot	2528020.0	cellular organisms;Bacteria;PVC group;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Poriferisphaera	k__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Poriferisphaera;s__Poriferisphaera corsica	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Poriferisphaera	Poriferisphaera corsica	Planctomycetota
UniRef100_A0A835Y0A6	A0A835Y0A6	uniprot	47281.0	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;CS clade;Chlamydomonadales;Chlamydomonadales incertae sedis;Edaphochlamys	k__Eukaryota;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__;g__Edaphochlamys;s__Edaphochlamys debaryana	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	NA	Edaphochlamys	Edaphochlamys debaryana	Other
UniRef100_D8TGZ7	D8TGZ7	uniprot	3068.0	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;CS clade;Chlamydomonadales;Volvocaceae;Volvox;Volvox carteri	k__Eukaryota;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Volvocaceae;g__Volvox;s__Volvox carteri	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Volvox carteri	Other
UniRef100_A0A3M1F3G9	A0A3M1F3G9	uniprot	2026803.0	cellular organisms;Archaea;DPANN group;Candidatus Woesearchaeota	k__Archaea;p__Candidatus Woesearchaeota;c__;o__;f__;g__;s__Candidatus Woesearchaeota archaeon	Archaea	Candidatus Woesearchaeota	NA	NA	NA	NA	Candidatus Woesearchaeota archaeon	Other
UniRef100_A0A438J1E5	A0A438J1E5	uniprot	29760.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;rosids incertae sedis;Vitales;Vitaceae;Viteae;Vitis	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Vitales;f__Vitaceae;g__Vitis;s__Vitis vinifera	Eukaryota	Streptophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera	Other
UniRef100_Q557B5	Q557B5	uniprot	44689.0	cellular organisms;Eukaryota;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Dictyostelium	k__Eukaryota;p__Evosea;c__Eumycetozoa;o__Dictyosteliales;f__Dictyosteliaceae;g__Dictyostelium;s__Dictyostelium discoideum	Eukaryota	Evosea	Eumycetozoa	Dictyosteliales	Dictyosteliaceae	Dictyostelium	Dictyostelium discoideum	Other
UniRef100_A0A3M5YQ46	A0A3M5YQ46	uniprot	235275.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas syringae group;Pseudomonas coronafaciens	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas coronafaciens	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas coronafaciens	Proteobacteria
UniRef100_A0A183J9B2	A0A183J9B2	uniprot	241478.0	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Enoplea;Dorylaimia;Dioctophymatida;Dioctophymatoidea;Soboliphymatidae;Soboliphyme	k__Eukaryota;p__Nematoda;c__Enoplea;o__Dioctophymatida;f__Soboliphymatidae;g__Soboliphyme;s__Soboliphyme baturini	Eukaryota	Nematoda	Enoplea	Dioctophymatida	Soboliphymatidae	Soboliphyme	Soboliphyme baturini	Other
UniRef100_A0A7C2HS80	A0A7C2HS80	uniprot	2053560.0	cellular organisms;Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenobaculum;unclassified Hydrogenobaculum	k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales;f__Aquificaceae;g__Hydrogenobaculum;s__Hydrogenobaculum sp.	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobaculum	Hydrogenobaculum sp.	Other
UniRef100_A0A0F8WD36	A0A0F8WD36	uniprot	1538547.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;Candidatus Lokiarchaeum;unclassified Lokiarchaeum	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__Candidatus Lokiarchaeum;s__Candidatus Lokiarchaeum sp. GC14_75	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	Candidatus Lokiarchaeum	Candidatus Lokiarchaeum sp. GC14_75	Other
UniRef100_A0A842RMY5	A0A842RMY5	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A850MDW7	A0A850MDW7	uniprot	2719382.0	cellular organisms;Archaea;Asgard group;Candidatus Helarchaeota	k__Archaea;p__Candidatus Helarchaeota;c__;o__;f__;g__;s__Candidatus Helarchaeota archaeon	Archaea	Candidatus Helarchaeota	NA	NA	NA	NA	Candidatus Helarchaeota archaeon	Other
UniRef100_A0A6I6JRW5	A0A6I6JRW5	uniprot	2681766.0	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Maribellus	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__Maribellus;s__Maribellus comscasis	Bacteria	Bacteroidota	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Maribellus	Maribellus comscasis	Other
UniRef100_A0A842VQA7	A0A842VQA7	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A842T7Y0	A0A842T7Y0	uniprot	2053489.0	cellular organisms;Archaea;Asgard group;Candidatus Lokiarchaeota;unclassified Lokiarchaeota	k__Archaea;p__Candidatus Lokiarchaeota;c__;o__;f__;g__;s__Candidatus Lokiarchaeota archaeon	Archaea	Candidatus Lokiarchaeota	NA	NA	NA	NA	Candidatus Lokiarchaeota archaeon	Other
UniRef100_A0A6A4UT62	A0A6A4UT62	uniprot	2053306.0	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Ignavibacteriae;Ignavibacteria;unclassified Ignavibacteria	k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__;f__;g__;s__Ignavibacteria bacterium	Bacteria	Ignavibacteriae	Ignavibacteria	NA	NA	NA	Ignavibacteria bacterium	Other
UniRef100_A0A7V4U2B5	A0A7V4U2B5	uniprot	187145.0	cellular organisms;Bacteria;Calditrichaeota;Calditrichia;Calditrichales;Calditrichaceae;Caldithrix	k__Bacteria;p__Calditrichaeota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Caldithrix;s__Caldithrix abyssi	Bacteria	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix	Caldithrix abyssi	Other
UniRef100_A0A2Z5YB78	A0A2Z5YB78	uniprot	1781.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium ulcerans group	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium marinum	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	Actinomycetota
UniRef100_A0A2N7Q254	A0A2N7Q254	uniprot	2053560.0	cellular organisms;Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenobaculum;unclassified Hydrogenobaculum	k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales;f__Aquificaceae;g__Hydrogenobaculum;s__Hydrogenobaculum sp.	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobaculum	Hydrogenobaculum sp.	Other
UniRef100_A0A850LWC2	A0A850LWC2	uniprot	2719382.0	cellular organisms;Archaea;Asgard group;Candidatus Helarchaeota	k__Archaea;p__Candidatus Helarchaeota;c__;o__;f__;g__;s__Candidatus Helarchaeota archaeon	Archaea	Candidatus Helarchaeota	NA	NA	NA	NA	Candidatus Helarchaeota archaeon	Other
UniRef100_A0A4Y1RGM5	A0A4Y1RGM5	uniprot	3755.0	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Rosaceae;Amygdaloideae;Amygdaleae;Prunus	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Prunus;s__Prunus dulcis	Eukaryota	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus dulcis	Other
UniRef100_A0A4D4LKQ6	A0A4D4LKQ6	uniprot	68280.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces violaceusniger group	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces violaceusniger	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces violaceusniger	Actinomycetota
UniRef100_A0A3M1DFD1	A0A3M1DFD1	uniprot	2026803.0	cellular organisms;Archaea;DPANN group;Candidatus Woesearchaeota	k__Archaea;p__Candidatus Woesearchaeota;c__;o__;f__;g__;s__Candidatus Woesearchaeota archaeon	Archaea	Candidatus Woesearchaeota	NA	NA	NA	NA	Candidatus Woesearchaeota archaeon	Other
UniRef100_A4TUA7	A4TUA7	uniprot	55518.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum;s__Magnetospirillum gryphiswaldense	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum gryphiswaldense	Proteobacteria
UniRef100_A0A7C1QSX3	A0A7C1QSX3	uniprot	1906665.0	cellular organisms;Archaea;unclassified Archaea	k__Archaea;p__;c__;o__;f__;g__;s__archaeon	Archaea	NA	NA	NA	NA	NA	archaeon	NA
UniRef100_A0A524CY45	A0A524CY45	uniprot	2053491.0	cellular organisms;Archaea;Asgard group;Candidatus Thorarchaeota	k__Archaea;p__Candidatus Thorarchaeota;c__;o__;f__;g__;s__Candidatus Thorarchaeota archaeon	Archaea	Candidatus Thorarchaeota	NA	NA	NA	NA	Candidatus Thorarchaeota archaeon	Other
UniRef100_A0A550HAM6	A0A550HAM6	uniprot	2026714.0	cellular organisms;Archaea;TACK group;Candidatus Bathyarchaeota;unclassified Candidatus Bathyarchaeota	k__Archaea;p__Candidatus Bathyarchaeota;c__;o__;f__;g__;s__Candidatus Bathyarchaeota archaeon	Archaea	Candidatus Bathyarchaeota	NA	NA	NA	NA	Candidatus Bathyarchaeota archaeon	Other
UniRef100_X1FQZ7	X1FQZ7	uniprot	412755.0	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes	k__;p__;c__;o__;f__;g__;s__marine sediment metagenome	NA	NA	NA	NA	NA	NA	marine sediment metagenome	NA
UniRef100_A0A1L9DVL8	A0A1L9DVL8	uniprot	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UniRef100_X7ZT71	X7ZT71	uniprot	1299333.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium xenopi	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium xenopi	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium xenopi	Actinomycetota
UniRef100_A0A656L2I7	A0A656L2I7	uniprot	1391999.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium complex (MAC);Mycobacterium avium	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium avium	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium	Actinomycetota
UniRef100_D5PAA7	D5PAA7	uniprot	525368.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium simiae complex;Mycobacterium parascrofulaceum	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium parascrofulaceum	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium parascrofulaceum	Actinomycetota
UniRef100_A0A655JDK8	A0A655JDK8	uniprot	1773.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis complex	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	Actinomycetota
